City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,sao joao da barra,-21.6403,-41.0511,304.2,68,99,3.75,BR,1718047096
283,sandnessjoen,66.0217,12.6316,282.44,93,75,5.66,NO,1718047096
284,gamba,-2.65,10.0,296.21,90,13,3.19,GA,1718047096
285,quelimane,-17.8786,36.8883,293.12,83,20,2.86,MZ,1718047096
286,ivdel',60.6911,60.4206,287.14,84,89,1.79,RU,1718047096
287,kouango,4.9934,19.9619,296.36,87,100,1.8,CF,1718047096
288,ghat,24.9647,10.1728,308.01,4,0,3.13,LY,1718047096
289,vilyuchinsk,52.9306,158.4028,284.78,78,100,0.52,RU,1718047096
290,fort st. john,56.2499,-120.8529,291.09,52,75,2.06,CA,1718047096
291,urengoy,65.9667,78.3667,286.29,53,100,4.22,RU,1718047096
292,quellon,-43.1167,-73.6167,284.07,92,100,9.29,CL,1718047096
293,saliste,45.7963,23.8868,291.51,88,75,5.66,RO,1718047096
294,haiku-pauwela,20.9219,-156.3051,301.6,77,40,10.29,US,1718047096
295,vic-en-bigorre,43.3833,0.05,290.93,86,22,4.95,FR,1718047096
296,constantia,44.1833,28.65,295.76,75,0,7.49,RO,1718047037
297,maqat,47.65,53.3167,301.95,30,100,3.88,KZ,1718047097
298,crane,31.3974,-102.3501,302.95,43,0,0.9,US,1718047097
299,chicoana,-25.1009,-65.5331,297.18,39,0,3.28,AR,1718047097
300,pendencias,-5.26,-36.7222,305.35,41,7,7.8,BR,1718047097
301,springbok,-29.6643,17.8865,289.24,40,16,4.54,ZA,1718047097
302,colonia,50.9333,6.95,285.35,77,75,7.72,DE,1718047097
303,santa cruz del norte,23.1539,-81.9236,304.48,65,40,8.21,CU,1718047097
304,khor,47.8861,134.9464,285.36,95,94,1.13,RU,1718047097
305,weno,7.4515,151.8468,301.98,77,100,5.03,FM,1718047097
306,kwang binh,17.4833,106.6,301.91,70,100,3.61,VN,1718047097
307,krasnyy kholm,58.0607,37.1203,287.85,93,74,3.08,RU,1718047097
308,kapa'a,22.0752,-159.319,301.14,79,75,7.2,US,1718047097
309,veydelevka,50.1521,38.4492,294.24,67,8,4.43,RU,1718047097
310,shimoda,34.6667,138.95,292.65,86,100,1.08,JP,1718047097
311,ulety,51.3572,112.4849,285.13,91,98,0.39,RU,1718047097
312,keelung,25.1283,121.7419,301.53,88,54,0.81,TW,1718047097
313,lautoka,-17.6167,177.4667,292.07,88,20,2.57,FJ,1718047097
314,nizhnesortymskiy,62.4397,71.7603,290.11,59,100,3.87,RU,1718047097
315,wynyard,-41.0,145.7167,286.03,93,100,10.07,AU,1718047097
316,oasis,33.4659,-116.0989,311.55,24,0,3.09,US,1718047098
317,dhidhdhoo,6.8833,73.1,301.62,79,100,7.18,MV,1718046836
318,punta arenas,-53.15,-70.9167,276.21,93,75,2.57,CL,1718046811
319,kamina,-8.7386,24.9906,289.72,50,5,1.54,CD,1718047098
320,dudinka,69.4058,86.1778,279.64,86,77,3.13,RU,1718047098
321,mount gambier,-37.8333,140.7667,287.8,69,100,7.01,AU,1718047098
322,dakoro,14.5106,6.765,306.14,41,100,7.65,NE,1718047098
323,lagunas,-5.2269,-75.6753,306.22,49,82,0.84,PE,1718047098
324,remire-montjoly,4.9167,-52.2667,302.17,84,75,2.06,GF,1718047098
325,guatire,10.4762,-66.5427,304.93,68,99,1.82,VE,1718047098
326,russkaya polyana,49.417,31.9201,292.79,85,70,6.99,UA,1718047098
327,mundo novo,-11.8589,-40.4725,296.67,76,100,3.53,BR,1718047098
328,narok,-1.0783,35.8601,287.1,92,65,2.44,KE,1718047093
329,buka,40.8108,69.1986,301.57,24,5,3.44,UZ,1718047098
330,krutinka,56.0055,71.5113,287.09,98,100,5.07,RU,1718047098
331,yuanping,38.7153,112.7575,292.35,57,98,0.6,CN,1718047098
332,san matias,-16.3667,-58.4,309.71,18,33,2.55,BO,1718047098
333,zima,53.9202,102.0442,284.74,86,100,2.13,RU,1718047098
334,taoudenni,22.6783,-3.9836,315.01,10,1,4.55,ML,1718047098
335,touros,-5.1989,-35.4608,300.5,75,4,7.43,BR,1718047099
336,port-gentil,-0.7193,8.7815,297.49,85,35,5.6,GA,1718047099
337,bystrice pod hostynem,49.3992,17.674,290.77,89,98,0.97,CZ,1718047099
338,berdigestyakh,62.0989,126.6992,283.62,61,41,1.04,RU,1718047099
339,tutayev,57.8853,39.5406,290.9,97,100,2.82,RU,1718047099
340,glace bay,46.1969,-59.957,293.76,72,75,4.63,CA,1718047099
341,newman,37.3138,-121.0208,303.84,47,0,2.68,US,1718047099
342,taroa,8.7058,171.2275,301.55,80,22,9.18,MH,1718047099
343,sarkand,45.41,79.9186,293.54,45,100,2.07,KZ,1718047099
344,usinsk,65.9939,57.5281,280.41,92,100,5.81,RU,1718047099
345,roma,43.2128,-75.4557,288.12,79,100,6.17,US,1718047099
346,fort mcmurray,56.7268,-111.381,287.88,67,40,1.03,CA,1718047099
347,qamdo,31.1667,97.2333,282.7,67,100,1.82,CN,1718047099
348,shache,38.4167,77.2406,296.9,30,66,1.82,CN,1718047099
349,hasaki,35.7333,140.8333,291.09,80,3,1.89,JP,1718047099
350,fortuna,40.5982,-124.1573,290.89,88,75,3.6,US,1718047099
351,arraial do cabo,-22.9661,-42.0278,303.07,39,0,1.54,BR,1718047090
352,wustenrot,49.0808,9.4606,289.48,92,11,6.03,DE,1718047099
353,mil'kovo,55.6078,37.7956,291.23,89,98,3.83,RU,1718047099
354,pangkalanbuun,-2.6833,111.6167,297.09,100,100,0.68,ID,1718046995
355,agios nikolaos,35.1914,25.7133,299.13,64,1,1.1,GR,1718047089
356,shubarshi,48.5872,57.1869,295.45,51,10,4.04,KZ,1718047099
357,rovaniemi,66.5,25.7167,283.82,71,0,2.57,FI,1718047100
358,tabou,4.423,-7.3528,298.77,87,93,5.16,CI,1718047100
359,hilo,19.7297,-155.09,299.05,85,100,3.09,US,1718047100
360,dryden,49.7833,-92.7503,294.31,23,0,2.06,CA,1718047071
361,grand falls-windsor,48.9332,-55.6649,289.54,94,100,1.79,CA,1718047100
362,tralee,52.2704,-9.7026,285.32,73,39,3.55,IE,1718047100
363,olinda,-8.0089,-34.8553,301.0,69,40,7.2,BR,1718046842
